Borough,City,Latitude,Longitude,Neighborhood,Postal Code
Bronx,New York,40.89470517661,-73.84720052054902,Wakefield,XXX
Bronx,New York,40.87429419303012,-73.82993910812398,Co-op City,XXX
Bronx,New York,40.887555677350775,-73.82780644716412,Eastchester,XXX
Bronx,New York,40.89543742690383,-73.90564259591682,Fieldston,XXX
Bronx,New York,40.890834493891305,-73.9125854610857,Riverdale,XXX
Bronx,New York,40.88168737120521,-73.90281798724604,Kingsbridge,XXX
Manhattan,New York,40.87655077879964,-73.91065965862981,Marble Hill,XXX
Bronx,New York,40.89827261213805,-73.86731496814176,Woodlawn,XXX
Bronx,New York,40.87722415599446,-73.8793907395681,Norwood,XXX
Bronx,New York,40.88103887819211,-73.85744642974207,Williamsbridge,XXX
Bronx,New York,40.866858107252696,-73.83579759808117,Baychester,XXX
Bronx,New York,40.85741349808865,-73.85475564017999,Pelham Parkway,XXX
Bronx,New York,40.84724670491813,-73.78648845267413,City Island,XXX
Bronx,New York,40.870185164975325,-73.8855121841913,Bedford Park,XXX
Bronx,New York,40.85572707719664,-73.9104159619131,University Heights,XXX
Bronx,New York,40.84789792606271,-73.91967159119565,Morris Heights,XXX
Bronx,New York,40.86099679638654,-73.89642655981623,Fordham,XXX
Bronx,New York,40.84269615786053,-73.88735617532338,East Tremont,XXX
Bronx,New York,40.83947505672653,-73.87774474910545,West Farms,XXX
Bronx,New York,40.836623010706056,-73.9261020935813,High  Bridge,XXX
Bronx,New York,40.819754370594936,-73.90942160757436,Melrose,XXX
Bronx,New York,40.80623874935177,-73.91609987487575,Mott Haven,XXX
Bronx,New York,40.801663627756206,-73.91322139386135,Port Morris,XXX
Bronx,New York,40.81509904545822,-73.8957882009446,Longwood,XXX
Bronx,New York,40.80972987938709,-73.88331505955291,Hunts Point,XXX
Bronx,New York,40.82359198585534,-73.90150648943059,Morrisania,XXX
Bronx,New York,40.821012197914015,-73.86574609554924,Soundview,XXX
Bronx,New York,40.80655112003589,-73.85414416189266,Clason Point,XXX
Bronx,New York,40.81510925804005,-73.81635002158441,Throgs Neck,XXX
Bronx,New York,40.844245936947374,-73.8240992675385,Country Club,XXX
Bronx,New York,40.837937822267286,-73.85600310535783,Parkchester,XXX
Bronx,New York,40.8406194964327,-73.84219407604444,Westchester Square,XXX
Bronx,New York,40.84360847124718,-73.8662991807561,Van Nest,XXX
Bronx,New York,40.847549063536334,-73.85040178030421,Morris Park,XXX
Bronx,New York,40.85727710073895,-73.88845196134804,Belmont,XXX
Bronx,New York,40.88139497727086,-73.91719048210393,Spuyten Duyvil,XXX
Bronx,New York,40.90854282950666,-73.90453054908927,North Riverdale,XXX
Bronx,New York,40.85064140940335,-73.8320737824047,Pelham Bay,XXX
Bronx,New York,40.82657951686922,-73.82620275994073,Schuylerville,XXX
Bronx,New York,40.821986118163494,-73.81388514428619,Edgewater Park,XXX
Bronx,New York,40.819014376988314,-73.84802729582735,Castle Hill,XXX
Bronx,New York,40.87137078192371,-73.86332361652777,Olinville,XXX
Bronx,New York,40.86296562477998,-73.84161194831223,Pelham Gardens,XXX
Bronx,New York,40.83428380733851,-73.91558941773444,Concourse,XXX
Bronx,New York,40.82977429787161,-73.85053524451935,Unionport,XXX
Bronx,New York,40.88456130303732,-73.84808271877168,Edenwald,XXX
Brooklyn,New York,40.625801065010656,-74.03062069353813,Bay Ridge,XXX
Brooklyn,New York,40.61100890202044,-73.99517998380729,Bensonhurst,XXX
Brooklyn,New York,40.64510294925429,-74.01031618527784,Sunset Park,XXX
Brooklyn,New York,40.7302009848647,-73.95424093127393,Greenpoint,XXX
Brooklyn,New York,40.59526001306593,-73.97347087708445,Gravesend,XXX
Brooklyn,New York,40.57682506566604,-73.96509448785336,Brighton Beach,XXX
Brooklyn,New York,40.58689012678384,-73.94318640482979,Sheepshead Bay,XXX
Brooklyn,New York,40.61443251335098,-73.95743840559939,Manhattan Terrace,XXX
Brooklyn,New York,40.63632589026677,-73.95840106533903,Flatbush,XXX
Brooklyn,New York,40.67082917695294,-73.94329119073582,Crown Heights,XXX
Brooklyn,New York,40.64171776668961,-73.93610256185836,East Flatbush,XXX
Brooklyn,New York,40.642381958003526,-73.98042110559474,Kensington,XXX
Brooklyn,New York,40.65694583575104,-73.98007340430172,Windsor Terrace,XXX
Brooklyn,New York,40.676822262254724,-73.9648592426269,Prospect Heights,XXX
Brooklyn,New York,40.66394994339755,-73.91023536176607,Brownsville,XXX
Brooklyn,New York,40.70714439344251,-73.95811529220927,Williamsburg,XXX
Brooklyn,New York,40.69811611017901,-73.92525797487045,Bushwick,XXX
Brooklyn,New York,40.687231607720456,-73.94178488690297,Bedford Stuyvesant,XXX
Brooklyn,New York,40.695863722724084,-73.99378225496424,Brooklyn Heights,XXX
Brooklyn,New York,40.687919722485574,-73.99856139218463,Cobble Hill,XXX
